"Producto que coincide ","Segmentaciones por producto","Agregado como","Impresiones","Clics","Tasa de clics (CTR)","Inversión(USD)","Costo por clic (CPC)(USD)","Pedidos","Ventas(USD)","ACOS","ROAS","Tasa de conversión"
"young adult books romance","young adult books","","2","1","50.00",0.9,0.9,"0",0,,"0.0","0.0"
"gay books for teens","books for teens","","18","3","16.67",2.47,0.82,"0",0,,"0.0","0.0"
"young adult mystery books for boys","books for boys","","8","1","12.50",1.61,1.61,"0",0,,"0.0","0.0"
"princess ya book","ya books","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"medieval books for teens","books for teens","","5","1","20.00",1.05,1.05,"0",0,,"0.0","0.0"
"teens viking book 1","books for teens","","1","1","100.00",1.78,1.78,"0",0,,"0.0","0.0"
"books for boys","books for boys","Palabra clave: frase, general","50","3","6.00",4.59,1.53,"0",0,,"0.0","0.0"
"top ya books","ya books","","2","1","50.00",0.24,0.24,"0",0,,"0.0","0.0"
"valentines books for teen boy","book for teen boys","","2","1","50.00",1.89,1.89,"0",0,,"0.0","0.0"
"early teen books 12-14","books for teens","","2","1","50.00",1.14,1.14,"0",0,,"0.0","0.0"
"dark fantasy books for adults","fantasy books for adults","","3","1","33.33",1.28,1.28,"0",0,,"0.0","0.0"
"queer ya books","ya books","","4","1","25.00",0.27,0.27,"0",0,,"0.0","0.0"
"devotional books for teen boys","book for teen boys","","11","1","9.09",1.89,1.89,"1",15.99,"11.819887429643526","8.46031746031746","100.0"
"lgbtq books for teens","books for teens","","44","1","2.27",0.6,0.6,"0",0,,"0.0","0.0"
"the false prince","false prince","","404","5","1.24",3.73,0.75,"0",0,,"0.0","0.0"
"book series for 17 year old boys","books 17 year old boy","","1","1","100.00",0.92,0.92,"0",0,,"0.0","0.0"
