Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;Kindle;fantasia epica;BROAD;CAMPAIGN_PAUSED;0.15;0.20;0.38;0.08;;135;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;fantasia epica;PHRASE;CAMPAIGN_PAUSED;0.15;0.20;0.40;0.08;;81;1;0.0123;0.27;0.27;0;0.00;;0;0.00
ENABLED;Kindle;fantasia epica;EXACT;CAMPAIGN_PAUSED;0.15;0.22;0.22;0.08;;420;1;0.0024;0.21;0.21;0;0.00;;0;0.00
PAUSED;Kindle;harry potter libros;PHRASE;CAMPAIGN_PAUSED;0.14;0.19;0.38;0.08;;389;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;harry potter libros;BROAD;CAMPAIGN_PAUSED;0.14;0.22;0.44;0.08;;1610;1;0.0006;0.08;0.08;0;0.00;;0;0.00
ENABLED;Kindle;harry potter libros;EXACT;CAMPAIGN_PAUSED;0.13;0.24;0.26;0.08;;1570;4;0.0025;0.61;0.15;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros;BROAD;CAMPAIGN_PAUSED;0.14;0.16;0.26;0.08;;263;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros;EXACT;CAMPAIGN_PAUSED;0.13;0.14;0.20;0.08;;1767;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;juego de tronos libros;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.20;0.08;;93;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;juego de tronos libros español;PHRASE;CAMPAIGN_PAUSED;0.12;0.20;0.20;0.08;;3;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros español;BROAD;CAMPAIGN_PAUSED;0.12;0.13;0.20;0.08;;8;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros español;EXACT;CAMPAIGN_PAUSED;0.12;0.13;0.20;0.08;;45;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;juego de tronos libros pack español;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros pack español;BROAD;CAMPAIGN_PAUSED;;;;0.08;;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juego de tronos libros pack español;EXACT;CAMPAIGN_PAUSED;;;;0.08;;164;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juegos del hambre libro;BROAD;CAMPAIGN_PAUSED;0.13;0.17;0.24;0.08;;632;3;0.0047;0.29;0.10;0;0.00;;0;0.00
PAUSED;Kindle;juegos del hambre libro;PHRASE;CAMPAIGN_PAUSED;0.13;0.16;0.24;0.08;;116;1;0.0086;0.03;0.03;0;0.00;;0;0.00
ENABLED;Kindle;juegos del hambre libro;EXACT;CAMPAIGN_PAUSED;0.14;0.16;0.24;0.08;;15665;18;0.0011;2.72;0.15;0;0.00;;0;0.00
ENABLED;Kindle;juegos del hambre saga;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juegos del hambre saga;EXACT;CAMPAIGN_PAUSED;;;;0.08;;9;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juegos del hambre saga;BROAD;CAMPAIGN_PAUSED;0.13;0.14;0.19;0.08;;20;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juvenil libros;EXACT;CAMPAIGN_PAUSED;;;;0.08;;31;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;juvenil libros;BROAD;CAMPAIGN_PAUSED;0.15;0.19;0.36;0.08;;9193;18;0.002;6.97;0.39;0;0.00;;0;0.00
PAUSED;Kindle;juvenil libros;PHRASE;CAMPAIGN_PAUSED;0.16;0.19;0.19;0.08;;7;1;0.1429;0.20;0.20;0;0.00;;0;0.00
