Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;PHASE;novelas para adolescentes chicas 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;<5%;3;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 13 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;12;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes;PHRASE;CAMPAIGN_PAUSED;0.13;0.18;0.36;0.10;6585365853658530%;1324;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas medievales;PHRASE;CAMPAIGN_PAUSED;0.16;0.19;0.34;0.10;;101;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles fantasia;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 24 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 23 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 22 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 21 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 20 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
